eta,max_depth,subsample,colsample_bytree,lambda,alpha,n_estimators,accuracy,auc,f1_score,precision,recall
0.03,7,0.6,0.6,1,0,300,0.8380281690140845,0.6852849108658744,0.23616236162361623,0.15311004784688995,0.5161290322580645
0.1,7,0.8,0.5,1,1,100,0.827073552425665,0.7024883276740238,0.24054982817869416,0.15283842794759825,0.5645161290322581
0.3,5,0.5,0.8,5,1,300,0.8732394366197183,0.6272548811544992,0.21359223300970873,0.1527777777777778,0.3548387096774194
0.05,7,0.5,0.8,1,0,100,0.8051643192488263,0.7368951612903225,0.24773413897280966,0.1524163568773234,0.6612903225806451
0.3,3,0.8,0.6,5,1,300,0.8693270735524257,0.6328522920203736,0.215962441314554,0.152317880794702,0.3709677419354839
0.1,5,0.6,0.5,1,0,300,0.8693270735524257,0.6328522920203736,0.215962441314554,0.152317880794702,0.3709677419354839
0.1,7,0.5,0.8,5,0,300,0.8763693270735524,0.6212462860780984,0.21,0.15217391304347827,0.3387096774193548
0.3,5,0.8,0.5,5,0,100,0.8513302034428795,0.6616617147707979,0.22764227642276422,0.15217391304347827,0.45161290322580644
0.03,7,0.5,0.8,1,0,300,0.8513302034428795,0.6616617147707979,0.22764227642276422,0.15217391304347827,0.45161290322580644
0.3,3,0.8,0.6,5,0,300,0.8763693270735524,0.6212462860780984,0.21,0.15217391304347827,0.3387096774193548
0.1,5,0.6,0.5,1,1,300,0.8583724569640062,0.6500557088285229,0.22317596566523606,0.15204678362573099,0.41935483870967744
0.03,7,0.6,0.8,1,1,300,0.8474178403755869,0.6672591256366723,0.22924901185770752,0.1518324607329843,0.46774193548387094
0.3,5,0.6,0.5,5,0,100,0.8474178403755869,0.6672591256366723,0.22924901185770752,0.1518324607329843,0.46774193548387094
0.03,5,0.6,0.6,1,1,300,0.7934272300469484,0.7536873938879458,0.25,0.15172413793103448,0.7096774193548387
0.3,3,0.5,0.6,5,1,100,0.7934272300469484,0.7536873938879458,0.25,0.15172413793103448,0.7096774193548387
0.1,5,0.8,0.6,1,1,100,0.8004694835680751,0.7420813879456706,0.24778761061946902,0.15162454873646208,0.6774193548387096
0.1,7,0.6,0.5,5,1,300,0.8615023474178404,0.6440471137521223,0.22026431718061673,0.15151515151515152,0.4032258064516129
0.3,5,0.8,0.6,1,0,100,0.8794992175273866,0.6152376910016978,0.20618556701030927,0.15151515151515152,0.3225806451612903
0.1,7,0.5,0.8,5,0,100,0.8325508607198748,0.690059953310696,0.2357142857142857,0.15137614678899083,0.532258064516129
0.1,7,0.6,0.5,1,0,300,0.8865414710485133,0.6036316850594227,0.19889502762430938,0.15126050420168066,0.2903225806451613
0.3,7,0.6,0.5,5,1,100,0.8575899843505478,0.6496445246179967,0.2222222222222222,0.1511627906976744,0.41935483870967744
0.3,3,0.5,0.6,5,0,100,0.7996870109546166,0.7416702037351443,0.24705882352941178,0.1510791366906475,0.6774193548387096
0.3,3,0.5,0.6,1,1,300,0.8755868544600939,0.6208351018675721,0.208955223880597,0.1510791366906475,0.3387096774193548
0.1,7,0.8,0.6,1,0,100,0.8466353677621283,0.666847941426146,0.2283464566929134,0.15104166666666666,0.46774193548387094
0.05,7,0.5,0.8,5,1,100,0.7738654147104851,0.7816744482173175,0.2532299741602067,0.15076923076923077,0.7903225806451613
0.3,7,0.8,0.8,5,1,100,0.878716744913928,0.6148265067911715,0.20512820512820512,0.15037593984962405,0.3225806451612903
0.05,5,0.5,0.5,1,1,300,0.8129890453834115,0.7180470076400679,0.24126984126984127,0.15019762845849802,0.6129032258064516
0.3,7,0.6,0.6,5,0,100,0.8748043818466353,0.6204239176570459,0.2079207920792079,0.15,0.3387096774193548
0.05,7,0.5,0.6,5,0,300,0.8419405320813772,0.6720341680814941,0.22900763358778625,0.15,0.4838709677419355
0.05,7,0.6,0.8,5,0,100,0.7871674491392802,0.7580512521222411,0.24861878453038674,0.15,0.7258064516129032
0.05,7,0.6,0.8,5,1,300,0.8528951486697965,0.6548307512733447,0.2231404958677686,0.15,0.43548387096774194
0.05,7,0.8,0.8,5,0,100,0.7981220657276995,0.7408478353140916,0.24561403508771928,0.15,0.6774193548387096
0.03,7,0.6,0.8,1,0,100,0.7832550860719875,0.7636486629881154,0.24932249322493225,0.1498371335504886,0.7419354838709677
0.1,7,0.6,0.8,5,1,100,0.827073552425665,0.6948349957555178,0.23529411764705882,0.14977973568281938,0.5483870967741935
0.3,5,0.6,0.8,5,1,100,0.8599374021909233,0.6432247453310697,0.2183406113537118,0.1497005988023952,0.4032258064516129
0.05,7,0.8,0.6,1,0,300,0.8708920187793427,0.6260213285229203,0.21052631578947367,0.14965986394557823,0.3548387096774194
0.3,3,0.6,0.5,1,1,300,0.8708920187793427,0.6260213285229203,0.21052631578947367,0.14965986394557823,0.3548387096774194
0.05,7,0.6,0.6,1,0,300,0.8708920187793427,0.6260213285229203,0.21052631578947367,0.14965986394557823,0.3548387096774194
0.05,5,0.5,0.6,5,1,300,0.8012519561815337,0.734839240237691,0.24404761904761904,0.14963503649635038,0.6612903225806451
0.3,3,0.5,0.6,1,1,100,0.8231611893583725,0.7004324066213923,0.23648648648648649,0.14957264957264957,0.5645161290322581
0.1,7,0.5,0.6,1,1,100,0.8341158059467919,0.6832289898132426,0.2318840579710145,0.14953271028037382,0.5161290322580645
0.03,5,0.5,0.8,5,0,300,0.7863849765258216,0.7576400679117148,0.24793388429752067,0.14950166112956811,0.7258064516129032
0.3,5,0.8,0.5,5,1,100,0.8450704225352113,0.6660255730050935,0.2265625,0.14948453608247422,0.46774193548387094
0.05,7,0.6,0.8,5,0,300,0.8560250391236307,0.6488221561969439,0.22033898305084745,0.14942528735632185,0.41935483870967744
0.05,7,0.5,0.6,1,0,300,0.86697965571205,0.6316187393887946,0.21296296296296297,0.14935064935064934,0.3709677419354839
0.3,3,0.5,0.5,1,1,300,0.86697965571205,0.6316187393887946,0.21296296296296297,0.14935064935064934,0.3709677419354839
0.03,7,0.6,0.6,1,1,300,0.8302034428794992,0.6888264006791172,0.2332155477031802,0.1493212669683258,0.532258064516129
0.3,3,0.8,0.5,1,1,300,0.8779342723004695,0.6144153225806451,0.20408163265306123,0.14925373134328357,0.3225806451612903
0.1,7,0.5,0.6,1,1,300,0.8779342723004695,0.6144153225806451,0.20408163265306123,0.14925373134328357,0.3225806451612903
0.1,5,0.6,0.6,5,0,300,0.852112676056338,0.6544195670628183,0.2222222222222222,0.14917127071823205,0.43548387096774194
0.3,7,0.8,0.6,1,0,300,0.8888888888888888,0.5972119057724957,0.19318181818181818,0.14912280701754385,0.27419354838709675
0.3,3,0.5,0.8,5,0,300,0.8630672926447575,0.637216150254669,0.21524663677130046,0.14906832298136646,0.3870967741935484
